location,event,date,artists,genre,coordinates
Baden,Rezital,2015-08-23,"['Christoph Croisé ', ' Oxana Shevchenko ']",Classic,"(47.47288, 8.308089999999998)"
Wettingen,Gringolts-Quartett,2015-08-23,"[' Ilya Gringolts ', ' Anahit Kurtikyan ', ' Silvia Simionescu ', ' Claudius Herrmann ']",Classic,"(47.4659503, 8.3265988)"
Amsoldingen,Bachwochen-Thun-Bach-Solo,2015-08-23,['Nicolas Altstaedt '],Classic,"(46.7280309, 7.583919999999998)"
Zumikon,Sommerkonzert,2015-08-23,"['René Oswald ', ' Martin Rabensteiner ']",Classic,"(47.32989529999999, 8.623968999999997)"
Zürich,Orgel-Abschiedskonzert,2015-08-23,['Kathrin Augustiny '],Classic,"(47.3768866, 8.541694)"
Saanen,Gstaad-Menuhin-Festival-Ironie-comme-expression-X,2015-08-23,['Daniil Trifonov '],Classic,"(46.4741066, 7.285492099999998)"
Amsoldingen,Bachwochen-Thun-Meisterwerke,2015-08-23,"['Nicolas Altstaedt ', ' Jonathan Cohen ']",Classic,"(46.7280309, 7.583919999999998)"
Winterthur,Sommerkonzert,2015-08-23,[' Barbara Meszaros '],Classic,"(47.49881959999999, 8.723688899999999)"
Murten,Murten-Classics,2015-08-23,"[' Sophie Marilley ', ' Charlotte Muller Perrier ', ' Lisa Tatin ']",Classic,"(46.92922110000001, 7.120184000000001)"
Zürich,Zürcher-Theater-Spektakel,2015-08-23,['La Fanfare en Pétard '],,"(47.3768866, 8.541694)"
Basel,Mittagskonzert,2013-10-23,[' Andrew Burn '],Classic,"(47.55959860000001, 7.588576099999999)"
Luzern,Piano-Entertainment,2013-10-23,['Mark Tenger '],,"(47.05016819999999, 8.309307200000001)"
Zürich,Die-grossen-Bearbeitungen,2013-10-23,[' Andreas Jost '],Classic,"(47.3768866, 8.541694)"
Palais-des-Congrès,null,2013-10-23,[' Stefan Arnold '],Classic,"(46.2266738, 6.140292199999999)"
Zürich,Konzert,2013-10-23,[' Maximilian Hornung '],Classic,"(47.3768866, 8.541694)"
Zürich,Galakonzert,2013-10-23,"[' Noemi Nadelmann ', ' Christina Harnisch ', ' Romano Pucci ']",Classic,"(47.3768866, 8.541694)"
Bern,Konzert,2013-10-23,[' Daniel Hope '],Classic,"(46.9479739, 7.447446800000001)"
Basel,COOP-Sinfoniekonzert,2013-10-23,[' Seong-Jin Cho '],Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Candy-Dulfer,2013-10-23,['Candy Dulfer '],,"(47.3768866, 8.541694)"
Zürich,Seat-Music-Session,2013-10-23,"[' Jenniffer Kae ', ' Johannes Oerding ', ' Jaz Ellington ']",Pop,"(47.3768866, 8.541694)"
Zürich,Zebrahead,2013-10-23,"['Zebrahead ', ' States And Empires ']",,"(47.3768866, 8.541694)"
Zürich,Bruno-Mars,2013-10-23,['Bruno Mars '],Pop,"(47.3768866, 8.541694)"
Basel,Orgelfestival,2013-10-23,"['Annemarie Zehnder ', ' Jean-Claude Zehnder ']",Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Ship-Shape,2013-10-23,"['Ship Shape ', ' Venera 4 ']",,"(47.3768866, 8.541694)"
Zürich,Foals,2013-10-23,['Foals '],,"(47.3768866, 8.541694)"
Bern,Blockflöte-des-Todes,2013-10-23,['Blockflöte des Todes '],Pop,"(46.9479739, 7.447446800000001)"
